MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-30T13:50:35.122+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
Torino 45 417838
Torino 25 417839
Torino 9 417840
Torino 6 417841
Torino 9 417842
Torino 19 417843
Torino 33 417844
Torino 83 417845
Torino 155 417846
Torino 130 417847
Torino 83 417848
Torino 103 417849
Torino 115 417850
Torino 108 417851
Torino 105 417852
Torino 121 417853
Torino 128 417854
Torino 120 417855
Torino 135 417856
Torino 125 417857
Torino 125 417858
Torino 97 417859
Torino 78 417860
Torino 66 417861
Torino 41 417862
Torino 30 417863
Torino 34 417864
Torino 16 417865
Torino 8 417866
Torino 6 417945
Torino 121 417946
Torino 121 417947
Torino 132 417948
Torino 106 417949
Torino 122 417950
Torino 148 417951
Torino 161 417952
Torino 169 417953
Torino 139 417954
Torino 88 417955
Torino 82 417956
Torino 76 417957
Torino 59 417958
Torino 26 417959
Torino 13 417960
Torino 3 417961
Torino 6 417962
Torino 18 417963
Torino 39 417964
Torino 98 417965
Torino 181 417966
Torino 145 417967
Torino 107 417968
Torino 106 417969
Torino 120 417970
Torino 130 417971
Torino 149 417972
Torino 129 417973
Torino 121 417974
Torino 168 417975
Torino 197 417976
Torino 163 417977
Torino 136 417978
Torino 121 417979
Torino 89 417980
Torino 76 417981
Torino 63 417982
Torino 27 417983
Torino 19 417984
Torino 5 417985
Torino 9 417986
Torino 13 417987
Torino 30 417988
Torino 82 417989
Torino 188 417990
Torino 150 417991
Torino 130 417992
Torino 114 417993
Torino 145 417994
Torino 115 417995
Torino 156 417996
Torino 116 417997
Torino 116 417998
Torino 146 417999
Torino 166 418000
Torino 157 418001
Torino 193 418002
Torino 118 418003
Torino 100 418004
Torino 102 418005
Torino 64 418006
Torino 24 418007
Torino 20 418008
Torino 6 418009
Torino 8 418010
Torino 20 418011
Torino 40 418012
Torino 96 418013
Torino 165 418014
Torino 145 418015
Torino 108 418016
Torino 126 418017
Torino 134 418018
Torino 151 418019
Torino 139 418020
Torino 146 418021
Torino 143 418022
Torino 167 418023
Torino 151 418024
Torino 135 418025
Torino 138 418026
Torino 85 418027
Torino 90 418028
Torino 99 418029
Torino 94 418030
Torino 57 418031
Torino 48 418032
Torino 21 418033
Torino 21 418034
Torino 25 418035
Torino 24 418036
Torino 38 418037
Torino 59 418038
Torino 104 418039
Torino 105 418040
Torino 91 418041
Torino 128 418042
Torino 104 418043
Torino 115 418044
Torino 103 418045
Torino 134 418046
Torino 109 418047
Torino 97 418048
Torino 116 418049
Torino 125 418050
Torino 80 418051
Torino 86 418052
Torino 67 418053
Torino 78 418054
Torino 66 418055
Torino 40 418056
Torino 29 418057
Torino 27 418058
Torino 18 418059
Torino 13 418060
Torino 19 418061
Torino 38 418062
Torino 37 418063
Torino 66 418064
Torino 80 418065
Torino 89 418066
Torino 69 418067
Torino 61 418068
Torino 88 418069
Torino 71 418070
Torino 94 418071
Torino 112 418072
Torino 116 418073
Torino 87 418074
Torino 65 418075
Torino 62 418076
Torino 71 418077
Torino 38 418078
Torino 17 418079
Torino 9 418080
Torino 8 418081
Torino 9 418082
Torino 25 418083
Torino 38 418084
Torino 90 418085
Torino 154 418086
Torino 144 418087
Torino 95 418088
Torino 115 418089
Torino 136 418090
Torino 137 418091
Torino 148 418092
Torino 106 418093
Torino 136 418094
Torino 154 418095
Torino 175 418096
Torino 167 418097
Torino 135 418098
Torino 81 418099
Torino 89 418100
Torino 69 418101
Torino 40 418102
Torino 22 418103
Torino 14 418104
Torino 8 418105
Torino 8 418106
Torino 13 418107
Torino 58 418108
Torino 99 418109
Torino 162 418110
Torino 149 418111
Torino 112 418112
Torino 107 418113
Torino 137 418114
Torino 129 418115
Torino 144 418116
Torino 127 418117
Torino 142 418118
Torino 135 418119
Torino 173 418120
Torino 173 418121
Torino 152 418122
Torino 70 418123
Torino 116 418124
Torino 82 418125
Torino 57 418126
Torino 24 418127
Torino 12 418128
Torino 3 418129
Torino 8 418130
Torino 18 418131
Torino 40 418132
Torino 108 418133
Torino 202 418134
Torino 149 418135
Torino 98 418136
Torino 127 418137
Torino 155 418138
Torino 132 418139
Torino 122 418140
Torino 131 418141
Torino 144 418142
Torino 152 418143
Torino 168 418144
Torino 163 418145
Torino 139 418146
Torino 95 418147
Torino 96 418148
Torino 78 418149
Torino 63 418150
Torino 30 418151
Torino 16 418152
Torino 6 418153
Torino 7 418154
Torino 21 418155
Torino 43 418156
Torino 94 418157
Torino 157 418158
Torino 147 418159
Torino 114 418160
Torino 117 418161
Torino 157 418162
Torino 132 418163
Torino 138 418164
Torino 127 418165
Torino 135 418166
Torino 155 418167
Torino 170 418168
Torino 170 418169
Torino 136 418170
Torino 100 418171
Torino 101 418172
Torino 85 418173
Torino 62 418174
Torino 32 418175
Torino 17 418176
Torino 9 418177
Torino 8 418178
Torino 17 418179
Torino 47 418180
Torino 101 418181
Torino 166 418182
Torino 131 418183
Torino 96 418184
Torino 123 418185
Torino 143 418186
Torino 143 418187
Torino 149 418188
Torino 159 418189
Torino 147 418190
Torino 157 418191
Torino 175 418192
Torino 170 418193
Torino 126 418194
Torino 109 418195
Torino 94 418196
Torino 109 418197
Torino 87 418198
Torino 72 418199
Torino 38 418200
Torino 33 418201
Torino 22 418202
Torino 14 418203
Torino 39 418204
Torino 36 418205
Torino 77 418206
Torino 104 418207
Torino 114 418208
Torino 127 418209
Torino 121 418210
Torino 106 418211
Torino 118 418212
Torino 110 418213
Torino 101 418214
Torino 111 418215
Torino 126 418216
Torino 140 418217
Torino 146 418218
Torino 100 418219
Torino 104 418220
Torino 107 418221
Torino 43 418222
Torino 60 418223
Torino 51 418224
Torino 33 418225
Torino 16 418226
Torino 24 418227
Torino 15 418228
Torino 18 418229
