MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-03T20:34:20.532+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
New York City 43 3
Torino 44 30
New York City 44 56
Madrid 44 32
Torino 45 227
Madrid 45 310
New York City 45 638
Torino 46 647
Madrid 46 771
New York City 46 1609
New York City 47 2042
Torino 47 835
Madrid 47 973
Torino 48 716
Madrid 48 861
New York City 48 1854
Torino 49 561
Madrid 49 627
New York City 49 1399
Torino 50 370
Madrid 50 455
New York City 50 1059
Torino 51 280
Madrid 51 359
New York City 51 725
Torino 52 185
Madrid 52 359
New York City 52 530
Madrid 53 332
New York City 53 352
Torino 53 135
New York City 54 1065
Madrid 54 559
Torino 54 1018
Torino 55 885
Madrid 55 822
New York City 55 590
Torino 56 714
Madrid 56 189
New York City 56 542
Madrid 57 29
New York City 57 863
Torino 57 673
Torino 58 343
New York City 58 64
Madrid 58 245
Torino 59 668
New York City 59 1189
Madrid 59 19
Torino 60 282
Madrid 60 21
New York City 60 476
Madrid 61 260
New York City 61 862
Torino 61 305
New York City 62 15
Torino 62 6
Madrid 62 791
New York City 63 22
Torino 63 7
Madrid 63 182
New York City 64 814
Torino 64 10
Madrid 64 283
Torino 65 325
New York City 65 443
Madrid 65 332
New York City 66 3
Torino 66 304
Madrid 66 405
New York City 67 388
New York City 69 1
Torino 69 295
Madrid 69 6
New York City 70 5
Torino 70 3
Madrid 70 1
New York City 71 1
Torino 72 1
New York City 72 2
Madrid 72 2
New York City 73 2
New York City 74 428
Madrid 74 197
New York City 75 2
Torino 75 1
Madrid 75 6
Torino 77 2
New York City 77 1
Madrid 78 15
New York City 79 1
New York City 80 1
New York City 81 1
Madrid 83 224
Torino 84 4
Madrid 84 1
Madrid 85 1
Torino 85 4
New York City 86 3
Torino 87 310
Madrid 87 1
New York City 88 1
Madrid 89 6
New York City 89 7
Torino 89 3
New York City 90 34
Madrid 90 18
Torino 90 13
New York City 91 121
Madrid 91 72
Torino 91 48
Torino 92 93
New York City 92 248
Madrid 92 152
Torino 93 175
Madrid 93 245
New York City 93 375
Madrid 94 270
New York City 94 443
Torino 94 190
New York City 95 460
Madrid 95 279
Torino 95 140
Madrid 96 230
New York City 96 373
Torino 96 132
Madrid 97 180
New York City 97 289
Torino 97 105
New York City 98 249
Madrid 98 121
Torino 98 93
New York City 99 181
Madrid 99 107
Torino 99 63
New York City 100 153
Torino 100 356
Madrid 100 102
Madrid 101 74
New York City 101 124
Torino 101 50
Madrid 102 70
New York City 102 123
Torino 102 54
New York City 103 513
Madrid 103 259
Torino 103 46
New York City 104 75
Madrid 104 56
Torino 104 28
New York City 105 79
Torino 105 21
Madrid 105 41
New York City 106 60
Madrid 106 29
Torino 106 23
New York City 107 36
Madrid 107 33
Torino 107 18
New York City 108 35
Madrid 108 21
Torino 108 10
Madrid 109 20
Torino 109 9
New York City 109 35
Madrid 110 12
New York City 110 26
Torino 110 6
New York City 111 14
Madrid 111 9
Torino 111 11
Torino 112 5
New York City 112 8
Madrid 112 4
Madrid 113 6
New York City 113 9
Torino 113 6
New York City 114 8
Madrid 114 5
Torino 114 5
Torino 115 4
New York City 115 8
Madrid 115 1
New York City 116 6
Torino 116 4
Madrid 116 4
New York City 117 6
Madrid 117 1
New York City 118 1
Madrid 118 7
Torino 118 1
New York City 119 3
Torino 119 1
Madrid 119 484
New York City 120 2
Torino 120 2
Torino 121 1
Madrid 121 1
New York City 122 2
Torino 122 4
Madrid 122 2
New York City 123 4
Madrid 123 2
New York City 124 2
New York City 125 1
Madrid 125 1
New York City 126 2
Madrid 126 1
Torino 126 3
New York City 127 1
Torino 127 1
Torino 128 1
Madrid 130 1
New York City 131 3
Madrid 131 1
New York City 133 1
Madrid 133 1
Madrid 134 2
Torino 135 5
New York City 135 3
Madrid 135 7
New York City 136 11
Madrid 136 8
Torino 136 4
Madrid 137 43
New York City 137 31
Torino 137 23
New York City 138 81
Madrid 138 61
Torino 138 26
Torino 139 58
Madrid 139 100
New York City 139 123
Madrid 140 132
New York City 140 176
Torino 140 86
Torino 141 82
New York City 141 177
Madrid 141 146
New York City 142 189
Madrid 142 365
Torino 142 414
Torino 143 87
New York City 143 401
Madrid 143 148
Torino 144 119
New York City 144 133
Madrid 144 122
Torino 145 49
New York City 145 100
Madrid 145 81
New York City 146 94
Madrid 146 66
Torino 146 45
Torino 147 360
New York City 147 93
Madrid 147 65
Torino 148 344
New York City 148 81
Madrid 148 56
New York City 149 53
Torino 149 58
Madrid 149 47
New York City 150 60
Madrid 150 46
Torino 150 29
Torino 151 47
New York City 151 50
Madrid 151 51
Madrid 152 46
Torino 152 39
New York City 152 55
Madrid 153 43
New York City 153 42
Torino 153 28
Madrid 154 30
New York City 154 32
Torino 154 30
Torino 155 22
Madrid 155 31
New York City 155 32
Madrid 156 223
New York City 156 22
Torino 156 8
Madrid 157 25
Torino 157 11
New York City 157 33
Madrid 158 25
New York City 158 34
Torino 158 7
Madrid 159 15
Torino 159 10
New York City 159 17
New York City 160 12
Madrid 160 18
Torino 160 10
Madrid 161 14
New York City 161 12
Torino 161 9
Madrid 162 20
New York City 162 15
Torino 162 3
New York City 163 8
Madrid 163 12
Torino 163 9
Torino 164 4
New York City 164 7
Madrid 164 291
Torino 165 5
New York City 165 382
Madrid 165 11
Madrid 166 8
New York City 166 4
Torino 166 4
New York City 167 1
Torino 167 12
Madrid 167 3
Madrid 168 5
New York City 168 3
Torino 168 1
Madrid 169 4
New York City 169 6
Torino 169 1
Madrid 170 213
New York City 170 5
Torino 170 3
Torino 171 322
Madrid 171 5
New York City 172 2
Madrid 172 1
Torino 172 1
Madrid 173 5
Torino 173 1
New York City 174 1
Madrid 174 5
Torino 174 3
New York City 175 3
Torino 175 1
New York City 176 1
Madrid 176 1
Torino 176 7
New York City 177 2
New York City 178 2
Madrid 178 2
New York City 179 3
Madrid 179 1
New York City 180 1
Madrid 180 2
Madrid 181 2
New York City 181 5
Torino 181 1
New York City 182 9
Madrid 182 6
New York City 183 297
Madrid 183 22
Torino 183 4
Torino 184 27
Madrid 184 37
New York City 184 34
Madrid 185 51
New York City 185 54
Torino 185 31
Madrid 186 81
New York City 186 69
Torino 186 66
New York City 187 84
Madrid 187 114
Torino 187 67
Madrid 188 137
New York City 188 107
Torino 188 58
Torino 189 57
New York City 189 85
Madrid 189 105
Madrid 190 110
New York City 190 104
Torino 190 47
Madrid 191 84
New York City 191 84
Torino 191 69
Madrid 192 72
Torino 192 65
New York City 192 77
Madrid 193 76
Torino 193 33
New York City 193 73
New York City 194 78
Madrid 194 47
Torino 194 30
New York City 195 46
Madrid 195 49
Torino 195 32
New York City 196 66
Madrid 196 41
Torino 196 26
New York City 197 39
Madrid 197 40
Torino 197 44
Madrid 198 36
New York City 198 32
Torino 198 48
New York City 199 38
Madrid 199 42
Torino 199 17
Madrid 200 25
New York City 200 37
Torino 200 15
New York City 201 32
Madrid 201 35
Torino 201 26
Madrid 202 26
New York City 202 19
Torino 202 29
Madrid 203 36
New York City 203 37
Torino 203 15
New York City 204 27
Madrid 204 30
Torino 204 23
Madrid 205 155
New York City 205 23
Torino 205 17
Torino 206 17
Madrid 206 24
New York City 206 23
Madrid 207 35
New York City 207 17
Torino 207 11
Madrid 208 14
New York City 208 19
Torino 208 14
New York City 209 8
Madrid 209 16
Torino 209 15
Madrid 210 16
Torino 210 12
New York City 210 11
Madrid 211 12
New York City 211 11
Torino 211 7
New York City 212 9
Madrid 212 21
Torino 212 10
New York City 213 6
Madrid 213 203
Torino 213 12
New York City 214 5
Madrid 214 12
Torino 214 2
New York City 215 7
Madrid 215 10
Torino 215 5
New York City 216 10
Madrid 216 3
Torino 216 2
Madrid 217 3
New York City 217 7
Torino 217 3
New York City 218 6
Madrid 218 5
Torino 218 2
New York City 219 1
Madrid 219 9
Torino 219 4
New York City 220 1
Madrid 220 6
Torino 220 2
Torino 221 8
New York City 221 2
Madrid 221 6
New York City 222 3
Madrid 222 8
Torino 222 3
New York City 223 1
Madrid 223 2
Torino 223 3
Madrid 224 1
Torino 224 3
Madrid 225 3
Torino 225 3
Madrid 226 1
Torino 226 1
New York City 227 1
Madrid 227 2
Torino 227 2
Madrid 228 5
New York City 228 9
Torino 228 2
Madrid 229 11
Torino 229 11
New York City 229 8
Madrid 230 22
New York City 230 15
Torino 230 5
Madrid 231 43
New York City 231 24
Torino 231 25
Madrid 232 69
New York City 232 30
Torino 232 33
Madrid 233 90
New York City 233 58
Torino 233 42
Madrid 234 102
New York City 234 56
Torino 234 54
New York City 235 68
Madrid 235 104
Torino 235 55
Madrid 236 89
New York City 236 63
Torino 236 64
Torino 237 49
New York City 237 57
Madrid 237 83
Madrid 238 92
New York City 238 56
Torino 238 49
New York City 239 55
Madrid 239 75
Torino 239 57
New York City 240 51
Madrid 240 62
Torino 240 29
