Days,Hours,latitude,longitude
12,18,45.08069,7.65813
12,18,45.06184,7.65721
12,18,45.05257,7.66709
12,18,45.07997,7.67043
12,18,45.05439,7.68305
12,18,45.06913,7.70635
12,18,45.04125,7.6424
12,18,45.07643,7.66251
12,18,45.09814,7.66759
12,18,45.07995,7.69721
12,18,45.03902,7.62891
12,18,45.0642,7.71311
12,18,45.07599,7.61903
12,18,45.01486,7.63777
12,18,45.06075,7.63965
12,18,45.06903,7.72304
12,18,45.08228,7.63223
12,18,45.07572,7.62472
12,18,45.07663,7.67156
12,18,45.05546,7.68217
12,18,45.07427,7.66943
12,18,45.06099,7.67168
12,18,45.06461,7.63797
12,18,45.06735,7.72086
12,18,45.10212,7.67468
12,18,45.0606,7.66774
12,18,45.09656,7.67234
12,18,45.0945,7.68127
12,18,45.06475,7.65639
12,18,45.07257,7.61533
12,18,45.01347,7.62405
12,18,45.05296,7.64505
12,18,45.05674,7.68377
12,18,45.05692,7.63627
12,18,45.06296,7.67341
12,18,45.06579,7.69818
12,18,45.04881,7.63968
12,18,45.04948,7.67174
12,18,45.11054,7.65623
12,18,45.08059,7.65626
12,18,45.08052,7.65057
12,18,45.0568,7.64777
12,18,45.07104,7.69299
12,18,45.07658,7.66686
12,18,45.06642,7.71421
12,18,45.06792,7.69524
12,18,45.04732,7.64681
12,18,45.08553,7.67761
12,18,45.05173,7.62988
12,18,45.05443,7.65487
12,18,45.07598,7.65763
12,18,45.06257,7.64209
12,18,45.0457,7.64499
12,18,45.05892,7.67129
12,18,45.07304,7.69456
12,18,45.10487,7.70352
12,18,45.02092,7.6497
12,18,45.09199,7.69356
12,18,45.04221,7.63188
12,18,45.01375,7.63156
12,18,45.07335,7.66072
12,18,45.08708,7.69888
12,18,45.08087,7.63796
12,18,45.05885,7.66251
12,18,45.06978,7.64882
12,18,45.078,7.67213
12,18,45.07392,7.67567
12,18,45.05903,7.68033
12,18,45.06618,7.68472
12,18,45.10271,7.67965
12,18,45.06995,7.7137
12,18,45.06378,7.70224
12,18,45.04471,7.67266
12,18,45.07963,7.67455
12,18,45.06072,7.6716
12,18,45.05285,7.66031
12,18,45.09937,7.68542
12,18,45.09117,7.71465
12,18,45.06948,7.66499
12,18,45.05468,7.66713
12,18,45.0545,7.61241
12,18,45.0743,7.66936
12,18,45.07774,7.67395
12,18,45.05014,7.66139
12,18,45.02164,7.64214
12,18,45.06287,7.65503
12,18,45.03853,7.67194
12,18,45.10153,7.66319
12,18,45.02965,7.67787
12,18,45.06457,7.6311
12,18,45.078,7.66214
12,18,45.08005,7.67711
12,18,45.03256,7.65059
12,18,45.06287,7.65503
12,18,45.09199,7.69356
12,18,45.08298,7.63442
12,18,45.10523,7.6381
12,18,45.10588,7.65075
12,18,45.06001,7.65134
12,18,45.04885,7.62932
12,18,45.05458,7.66884
12,18,45.07624,7.71978
12,18,45.08619,7.65108
12,18,45.07021,7.61811
12,18,45.09016,7.67466
12,18,45.06347,7.68524
12,18,45.06222,7.65203
12,18,45.05471,7.6916
12,18,45.03593,7.63583
12,18,45.09316,7.68284
12,18,45.0363,7.65295
12,18,45.07911,7.66091
12,18,45.04885,7.62932
12,18,45.04926,7.66646
12,18,45.05919,7.6511
12,18,45.06041,7.66708
12,18,45.0593,7.66814
12,18,45.06066,7.66472
12,18,45.10196,7.69227
12,18,45.06843,7.61983
12,18,45.07,7.65435
12,18,45.1103,7.65624
12,18,45.0387,7.68097
12,18,45.069,7.72333
12,18,45.10231,7.69599
12,18,45.10428,7.6446
12,18,45.074,7.6749
12,18,45.07614,7.69307
12,18,45.06661,7.67433
12,18,45.06944,7.65498
12,18,45.0782,7.71623
12,18,45.10588,7.65075
12,18,45.07027,7.65172
12,18,45.0628,7.66268
12,18,45.18843,7.6435
12,18,45.09661,7.71304
12,18,45.0746,7.62334
12,18,45.07333,7.6967
12,18,45.07142,7.70408
12,18,45.07104,7.69299
12,18,45.06491,7.64494
12,18,45.06208,7.63982
12,18,45.05659,7.67844
12,18,45.0778,7.65867
12,18,45.05465,7.6825
12,18,45.05455,7.67103
12,18,45.05128,7.67917
12,18,45.10624,7.64631
12,18,45.07464,7.67018
12,18,45.02083,7.65257
12,18,45.09199,7.66333
12,18,45.0589,7.67224
12,18,45.0623,7.68485
12,18,45.04655,7.68279
12,18,45.05113,7.67971
12,18,45.05885,7.66251
12,18,45.04339,7.63174
12,18,45.0779,7.67351
12,18,45.03345,7.65315
12,18,45.05821,7.67119
12,18,45.09423,7.70225
12,18,45.06304,7.66675
12,18,45.18843,7.6435
12,18,45.01316,7.65672
12,18,45.08849,7.69742
12,18,45.07898,7.66419
12,18,45.05896,7.63525
12,19,45.0726,7.64166
12,19,45.07625,7.66533
12,19,45.02043,7.6331
12,19,45.05084,7.67413
12,19,45.03966,7.65881
12,19,45.05564,7.65305
12,19,45.10318,7.6383
12,19,45.10624,7.64631
12,19,45.06977,7.69921
12,19,45.06684,7.72187
12,19,45.0929,7.67862
12,19,45.07339,7.63125
12,19,45.02369,7.63793
12,19,45.08799,7.66672
12,19,45.04729,7.62738
12,19,45.08247,7.6893
12,19,45.02886,7.6409
12,19,45.04076,7.64687
12,19,45.02568,7.66678
12,19,45.06004,7.65981
12,19,45.08968,7.66403
12,19,45.06948,7.63921
12,19,45.07993,7.67518
12,19,45.09676,7.70055
12,19,45.06442,7.63006
12,19,45.07658,7.66686
12,19,45.07934,7.6912
12,19,45.05903,7.68033
12,19,45.02381,7.63708
12,19,45.09773,7.684
12,19,45.03712,7.65241
12,19,45.18843,7.6435
12,19,45.07371,7.62189
12,19,45.05495,7.63157
12,19,45.05647,7.66198
12,19,45.06994,7.64648
12,19,45.06277,7.70243
12,19,45.06122,7.63698
12,19,45.05778,7.64918
12,19,45.06929,7.65043
12,19,45.0938,7.68838
12,19,45.04625,7.6422
12,19,45.06576,7.69833
12,19,45.06184,7.65721
12,19,45.07345,7.71869
12,19,45.07104,7.69299
12,19,45.07428,7.69433
12,19,45.08317,7.64278
12,19,45.07423,7.60786
12,19,45.06948,7.64135
12,19,45.04389,7.6717
12,19,45.05593,7.66018
12,19,45.01732,7.66471
12,19,45.09982,7.65508
12,19,45.06792,7.67606
12,19,45.0549,7.67507
12,19,45.03593,7.63583
12,19,45.07024,7.67551
12,19,45.07394,7.60712
12,19,45.0698,7.66398
12,19,45.06827,7.65248
12,19,45.06887,7.61147
12,19,45.08392,7.64904
12,19,45.03416,7.64768
12,19,45.06097,7.68357
12,19,45.07982,7.68683
12,19,45.0547,7.66343
12,19,45.07131,7.71424
12,19,45.02732,7.66599
12,19,45.10411,7.69757
12,19,45.02233,7.66717
12,19,45.0545,7.61241
12,19,45.07471,7.72639
12,19,45.06632,7.66537
12,19,45.0514,7.66134
12,19,45.03504,7.62581
12,19,45.06373,7.68411
12,19,45.05236,7.65212
12,19,45.10293,7.65916
12,19,45.04454,7.66043
12,19,45.05687,7.66115
12,19,45.07285,7.67452
12,19,45.07571,7.64502
12,19,45.06964,7.67672
12,19,45.04623,7.64639
12,19,45.05957,7.67261
12,19,45.07559,7.72301
12,19,45.06904,7.65441
12,19,45.0585,7.65304
12,19,45.03375,7.65204
12,19,45.06809,7.61888
12,19,45.05346,7.65608
12,19,45.06141,7.67202
12,19,45.07613,7.67277
12,19,45.05918,7.65787
12,19,45.05547,7.67614
12,19,45.03988,7.68201
12,19,45.07092,7.65298
12,19,45.08948,7.67859
12,19,45.05827,7.64496
12,19,45.0739,7.62489
12,19,45.06189,7.68676
12,19,45.08817,7.65245
12,19,45.05593,7.66018
12,19,45.06304,7.64638
12,19,45.06318,7.65385
12,19,45.07081,7.69459
12,19,45.05972,7.65155
12,19,45.0152,7.64834
12,19,45.10018,7.65191
12,19,45.01375,7.63156
12,19,45.0639,7.65253
12,19,45.06262,7.68798
12,19,45.06963,7.69927
12,19,45.06916,7.6305
12,19,45.03797,7.66797
12,19,45.07377,7.67625
12,19,45.07844,7.68363
12,19,45.07303,7.69427
12,19,45.03832,7.64199
12,19,45.06511,7.69594
12,19,45.09591,7.65756
12,19,45.07838,7.61941
12,19,45.06774,7.66461
12,19,45.06997,7.69057
12,19,45.07726,7.67729
12,19,45.07246,7.60916
12,19,45.06968,7.6718
12,19,45.06476,7.62064
12,19,45.03511,7.6258
12,19,45.07395,7.6762
12,19,45.10588,7.65075
12,19,45.04776,7.6593
12,19,45.05882,7.65568
12,19,45.04566,7.65054
12,19,45.03815,7.63933
12,19,45.07019,7.64146
12,19,45.06774,7.66461
12,19,45.07083,7.69713
12,19,45.06183,7.67001
12,19,45.04937,7.63321
12,19,45.07713,7.66968
12,19,45.06224,7.69763
12,19,45.06989,7.69418
12,19,45.07429,7.61743
12,19,45.06961,7.65077
12,19,45.02252,7.63645
12,19,45.01204,7.65697
12,19,45.07787,7.64246
12,19,45.0726,7.65858
12,19,45.02055,7.66641
12,19,45.05647,7.66198
12,19,45.07371,7.63001
12,19,45.05763,7.6712
12,19,45.06137,7.70158
12,19,45.06173,7.65745
12,19,45.0582,7.65941
12,19,45.07509,7.63169
12,19,45.05276,7.66204
12,19,45.08598,7.68199
12,19,45.0683,7.65742
12,19,45.06392,7.67615
12,19,45.08119,7.69952
12,19,45.10449,7.69962
12,19,45.10243,7.68434
12,19,45.05247,7.66716
12,19,45.0363,7.65295
12,19,45.06097,7.68357
12,19,45.07011,7.61656
12,19,45.07555,7.68301
12,19,45.07663,7.67156
12,19,45.05084,7.67413
12,19,45.0403,7.62159
12,19,45.0545,7.61241
12,19,45.09204,7.66335
12,19,45.07469,7.65763
12,19,45.07978,7.64998
12,19,45.0668,7.65518
12,19,45.06989,7.69418
12,19,45.08496,7.61678
12,19,45.07953,7.66341
12,19,45.09529,7.70877
12,19,45.07437,7.67527
12,19,45.07213,7.63183
12,19,45.07561,7.67592
12,19,45.08069,7.65813
12,19,45.05552,7.68288
12,19,45.0523,7.63008
12,19,45.08719,7.66991
12,19,45.0746,7.65502
12,19,45.05568,7.64539
12,19,45.0545,7.61241
12,19,45.07649,7.671
12,19,45.05479,7.69254
12,19,45.0545,7.61241
12,19,45.07107,7.67845
12,19,45.09106,7.7148
12,19,45.07649,7.671
12,20,45.05996,7.6789
12,20,45.05494,7.66218
12,20,45.06946,7.70482
12,20,45.06238,7.69357
12,20,45.11095,7.64819
12,20,45.08053,7.66419
12,20,45.05544,7.67627
12,20,45.07921,7.64564
12,20,45.07264,7.66786
12,20,45.06448,7.64165
12,20,45.03202,7.64959
12,20,45.06553,7.71539
12,20,45.0808,7.68384
12,20,45.06238,7.69357
12,20,45.07246,7.66764
12,20,45.0728,7.63773
12,20,45.0556,7.66235
12,20,45.0699,7.69413
12,20,45.07829,7.66035
12,20,45.0621,7.65656
12,20,45.01997,7.63319
12,20,45.07307,7.66487
12,20,45.04616,7.644
12,20,45.06653,7.6736
12,20,45.0731,7.66485
12,20,45.04669,7.64045
12,20,45.04167,7.64781
12,20,45.07531,7.67897
12,20,45.0734,7.68415
12,20,45.07761,7.6964
12,20,45.10488,7.70367
12,20,45.07244,7.60994
12,20,45.06098,7.68237
12,20,45.05478,7.68409
12,20,45.05499,7.63454
12,20,45.05815,7.66552
12,20,45.0709,7.65304
12,20,45.06064,7.65028
12,20,45.06964,7.67672
12,20,45.08078,7.66105
12,20,45.06439,7.65567
12,20,45.059,7.68381
12,20,45.05047,7.62748
12,20,45.03542,7.64626
12,20,45.06709,7.69716
12,20,45.06105,7.69153
12,20,45.07063,7.66665
12,20,45.09084,7.70084
12,20,45.10057,7.67843
12,20,45.06484,7.67255
12,20,45.0545,7.61241
12,20,45.06793,7.67511
12,20,45.06066,7.67605
12,20,45.07476,7.68374
12,20,45.06418,7.67613
12,20,45.03074,7.64826
12,20,45.09912,7.65761
12,20,45.06997,7.69057
12,20,45.02856,7.65405
12,20,45.07564,7.64656
12,20,45.04205,7.63302
12,20,45.03568,7.68045
12,20,45.05116,7.64822
12,20,45.0659,7.64613
12,20,45.08411,7.6985
12,20,45.07251,7.66777
12,20,45.06899,7.67027
12,20,45.06523,7.64499
12,20,45.04166,7.68252
12,20,45.05541,7.68209
12,20,45.07921,7.64564
12,20,45.01331,7.65057
12,20,45.04959,7.63978
12,20,45.06649,7.69005
12,20,45.06428,7.71323
12,20,45.05917,7.68397
12,20,45.08481,7.65824
12,20,45.10588,7.65075
12,20,45.07307,7.66487
12,20,45.01333,7.65763
12,20,45.0552,7.6573
12,20,45.06241,7.68482
12,20,45.06031,7.68494
12,20,45.06237,7.64295
12,20,45.09555,7.709
12,20,45.06741,7.62493
12,20,45.06654,7.67428
12,20,45.06789,7.69916
12,20,45.04782,7.64213
12,20,45.05625,7.67696
12,20,45.05099,7.67946
12,20,45.05659,7.66105
12,20,45.08039,7.6364
12,20,45.06387,7.69123
12,20,45.07531,7.64059
12,20,45.10128,7.65747
12,20,45.01991,7.63638
12,20,45.06224,7.69763
12,20,45.08652,7.68138
12,20,45.03948,7.62217
12,20,45.0683,7.65742
12,20,45.06977,7.617
12,20,45.04541,7.67998
12,20,45.07359,7.7245
12,20,45.06623,7.65262
12,20,45.08393,7.68065
12,20,45.07441,7.71514
12,20,45.0624,7.70349
12,20,45.05914,7.67182
12,20,45.08124,7.6539
12,20,45.04228,7.64301
12,20,45.02288,7.64392
12,20,45.06899,7.67027
12,20,45.04952,7.67672
12,20,45.05249,7.6688
12,20,45.02375,7.64099
12,20,45.05954,7.65259
12,20,45.05586,7.69612
12,20,45.03159,7.64169
12,20,45.05997,7.6291
12,20,45.06016,7.68564
12,20,45.078,7.67213
12,20,45.08315,7.64792
12,20,45.04191,7.65508
12,20,45.07487,7.65027
12,20,45.02656,7.64531
12,20,45.06961,7.65077
12,20,45.07349,7.69765
12,20,45.07661,7.69716
12,20,45.07554,7.64612
12,20,45.10321,7.6707
12,20,45.06268,7.6432
12,20,45.06066,7.68522
12,20,45.06899,7.65096
12,20,45.08228,7.62829
12,20,45.07452,7.69087
12,20,45.06482,7.68977
12,20,45.09591,7.65756
12,20,45.07958,7.63771
12,20,45.07203,7.71566
12,20,45.05758,7.66222
12,20,45.05346,7.67691
12,20,45.07551,7.64499
12,20,45.07084,7.64844
12,20,45.01195,7.62993
12,20,45.06672,7.69032
12,20,45.09715,7.69736
12,20,45.06422,7.69078
12,20,45.07123,7.72092
12,20,45.09824,7.67408
12,20,45.04486,7.64368
12,20,45.04885,7.62932
12,20,45.04431,7.6247
12,20,45.03758,7.63863
12,20,45.09954,7.69798
12,20,45.06004,7.65981
12,20,45.10374,7.65678
12,20,45.06252,7.67661
12,20,45.07931,7.63095
12,20,45.04878,7.64429
12,20,45.07063,7.66665
12,20,45.11091,7.65534
12,20,45.04158,7.63711
12,20,45.06654,7.67428
12,20,45.06178,7.66197
12,20,45.05029,7.66624
12,20,45.06442,7.64552
12,20,45.06927,7.6991
12,20,45.07307,7.66487
12,20,45.07264,7.66786
12,20,45.07729,7.68652
12,20,45.01997,7.63319
12,20,45.07501,7.66107
12,20,45.0545,7.61241
12,20,45.05412,7.68196
12,20,45.10137,7.64711
12,20,45.07453,7.6184
12,20,45.05443,7.6485
12,20,45.06591,7.69851
12,20,45.05309,7.64849
12,20,45.09958,7.69732
12,20,45.05381,7.63452
12,20,45.07571,7.64502
12,20,45.05026,7.65996
12,20,45.05657,7.67809
12,20,45.05808,7.67096
12,20,45.07259,7.62883
12,20,45.08187,7.63879
12,20,45.06768,7.71369
12,20,45.05672,7.66376
12,20,45.07491,7.69439
12,20,45.07104,7.70881
12,20,45.069,7.70624
12,20,45.07061,7.71129
12,20,45.10427,7.68404
12,20,45.06803,7.61683
12,20,45.08053,7.66419
12,21,45.04755,7.66282
12,21,45.03334,7.64736
12,21,45.07487,7.67616
12,21,45.11018,7.64808
12,21,45.06952,7.66898
12,21,45.04862,7.68029
12,21,45.07962,7.69447
12,21,45.05249,7.6688
12,21,45.04604,7.62711
12,21,45.0677,7.65417
12,21,45.05749,7.65906
12,21,45.07551,7.67451
12,21,45.09758,7.65916
12,21,45.08374,7.67875
12,21,45.06415,7.69408
12,21,45.09552,7.67275
12,21,45.0747,7.69358
12,21,45.04694,7.66248
12,21,45.08957,7.7028
12,21,45.0584,7.64262
12,21,45.07372,7.63095
12,21,45.06054,7.6788
12,21,45.05933,7.64185
12,21,45.03444,7.6425
12,21,45.04732,7.64681
12,21,45.07247,7.67235
12,21,45.07442,7.61243
12,21,45.07574,7.67085
12,21,45.07426,7.6078
12,21,45.0676,7.71372
12,21,45.06513,7.61798
12,21,45.0827,7.66615
12,21,45.07384,7.60704
12,21,45.05923,7.66019
12,21,45.06872,7.66834
12,21,45.0702,7.70975
12,21,45.08111,7.67452
12,21,45.08099,7.67486
12,21,45.01721,7.66473
12,21,45.0901,7.68041
12,21,45.05882,7.65985
12,21,45.04862,7.68029
12,21,45.05623,7.67959
12,21,45.06359,7.6806
12,21,45.05362,7.69046
12,21,45.07385,7.69566
12,21,45.07352,7.68176
12,21,45.08241,7.67554
12,21,45.0499,7.67799
12,21,45.04254,7.67611
12,21,45.05382,7.66816
12,21,45.11166,7.64464
12,21,45.07401,7.67273
12,21,45.06814,7.69873
12,21,45.07545,7.68806
12,21,45.07224,7.70904
12,21,45.07899,7.65007
12,21,45.10588,7.65075
12,21,45.06729,7.71052
12,21,45.06131,7.67916
12,21,45.06712,7.65472
12,21,45.09121,7.68326
12,21,45.06155,7.67927
12,21,45.03239,7.63928
12,21,45.06319,7.6553
12,21,45.05164,7.65952
12,21,45.06982,7.64623
12,21,45.0808,7.68384
12,21,45.10588,7.65075
12,21,45.05779,7.65915
12,21,45.05689,7.65892
12,21,45.07572,7.67572
12,21,45.08542,7.67816
12,21,45.06544,7.63063
12,21,45.0567,7.68016
12,21,45.07516,7.637
12,21,45.02036,7.64472
12,21,45.05623,7.67959
12,21,45.094,7.66689
12,21,45.06907,7.61343
12,21,45.07528,7.6954
12,21,45.04853,7.64496
12,21,45.07119,7.71384
12,21,45.07435,7.63403
12,21,45.08786,7.65206
12,21,45.04668,7.66236
12,21,45.08793,7.6666
12,21,45.0837,7.68081
12,21,45.08481,7.65824
12,21,45.06036,7.6914
12,21,45.06079,7.67313
12,21,45.09952,7.67297
12,21,45.06135,7.65072
12,21,45.07006,7.7235
12,21,45.08693,7.6687
12,21,45.05199,7.67755
12,21,45.05892,7.68473
12,21,45.07921,7.66671
12,21,45.10588,7.65075
12,21,45.05252,7.67586
12,22,45.06216,7.65808
12,22,45.08793,7.6666
12,22,45.05252,7.67586
12,22,45.01651,7.62996
12,22,45.07092,7.68119
12,22,45.05312,7.67587
12,22,45.0837,7.68081
12,22,45.05011,7.66136
12,22,45.07016,7.69407
12,22,45.04254,7.67611
12,22,45.08002,7.66048
12,22,45.06366,7.66397
12,22,45.067,7.68801
12,22,45.05623,7.66279
12,22,45.042,7.63994
12,22,45.06213,7.6628
12,22,45.08637,7.67449
12,22,45.04166,7.68252
12,22,45.04153,7.6556
12,22,45.06034,7.67871
12,22,45.06735,7.72086
12,22,45.05689,7.65892
12,22,45.05625,7.67696
12,22,45.05041,7.6333
12,22,45.05285,7.65775
12,22,45.06121,7.6914
12,22,45.07442,7.64814
12,22,45.06072,7.66951
12,22,45.0837,7.68081
12,22,45.08274,7.63998
12,22,45.04167,7.64781
12,22,45.01331,7.65057
12,22,45.10581,7.69809
12,22,45.08298,7.65848
12,22,45.08907,7.66477
12,22,45.07246,7.60916
12,22,45.05274,7.65816
12,22,45.07509,7.63169
12,22,45.03506,7.66829
12,22,45.06866,7.65645
