TOTAL,AREA,HOUR,LONG,LAT,,,,,,,
2,377,10,7.624465829,45.00869773,,,,,,,
1,377,11,7.624465829,45.00869773,,,,,,,
1,377,12,7.624465829,45.00869773,,,,,,,
1,377,18,7.624465829,45.00869773,,,,,,,
1,379,10,7.637173335,45.00869773,,,,,,,
1,379,11,7.637173335,45.00869773,,,,,,,
1,379,12,7.637173335,45.00869773,,,,,,,
1,381,18,7.649880842,45.00869773,,,,,,,
1,382,6,7.656234595,45.00869773,,,,,,,
1,382,20,7.656234595,45.00869773,,,,,,,
2,382,21,7.656234595,45.00869773,,,,,,,
1,415,8,7.611758322,45.01319292,,,,,,,
1,415,10,7.611758322,45.01319292,,,,,,,
1,415,11,7.611758322,45.01319292,,,,,,,
1,415,12,7.611758322,45.01319292,,,,,,,
1,415,17,7.611758322,45.01319292,,,,,,,
1,415,18,7.611758322,45.01319292,,,,,,,
1,416,1,7.618112075,45.01319292,,,,,,,
1,416,7,7.618112075,45.01319292,,,,,,,
1,416,10,7.618112075,45.01319292,,,,,,,
1,416,11,7.618112075,45.01319292,,,,,,,
1,416,12,7.618112075,45.01319292,,,,,,,
1,416,17,7.618112075,45.01319292,,,,,,,
1,417,2,7.624465829,45.01319292,,,,,,,
1,417,16,7.624465829,45.01319292,,,,,,,
1,417,17,7.624465829,45.01319292,,,,,,,
1,418,9,7.630819582,45.01319292,,,,,,,
1,418,20,7.630819582,45.01319292,,,,,,,
2,419,0,7.637173335,45.01319292,,,,,,,
5,419,10,7.637173335,45.01319292,,,,,,,
5,419,11,7.637173335,45.01319292,,,,,,,
5,419,12,7.637173335,45.01319292,,,,,,,
1,419,21,7.637173335,45.01319292,,,,,,,
3,421,0,7.649880842,45.01319292,,,,,,,
2,421,10,7.649880842,45.01319292,,,,,,,
2,421,11,7.649880842,45.01319292,,,,,,,
2,421,12,7.649880842,45.01319292,,,,,,,
1,421,15,7.649880842,45.01319292,,,,,,,
1,421,18,7.649880842,45.01319292,,,,,,,
1,421,20,7.649880842,45.01319292,,,,,,,
1,421,21,7.649880842,45.01319292,,,,,,,
1,422,4,7.656234595,45.01319292,,,,,,,
1,422,5,7.656234595,45.01319292,,,,,,,
1,422,8,7.656234595,45.01319292,,,,,,,
2,422,10,7.656234595,45.01319292,,,,,,,
2,422,11,7.656234595,45.01319292,,,,,,,
2,422,12,7.656234595,45.01319292,,,,,,,
1,422,14,7.656234595,45.01319292,,,,,,,
1,422,16,7.656234595,45.01319292,,,,,,,
1,422,18,7.656234595,45.01319292,,,,,,,
1,423,1,7.662588348,45.01319292,,,,,,,
1,423,3,7.662588348,45.01319292,,,,,,,
1,423,9,7.662588348,45.01319292,,,,,,,
3,423,10,7.662588348,45.01319292,,,,,,,
4,423,11,7.662588348,45.01319292,,,,,,,
2,423,12,7.662588348,45.01319292,,,,,,,
2,423,18,7.662588348,45.01319292,,,,,,,
