number,long,lat,total,,,
0,7.516452023,44.96824095,0,,,
1,7.522805776,44.96824095,0,,,
2,7.52915953,44.96824095,0,,,
3,7.535513283,44.96824095,0,,,
4,7.541867036,44.96824095,0,,,
5,7.548220789,44.96824095,0,,,
6,7.554574543,44.96824095,0,,,
7,7.560928296,44.96824095,0,,,
8,7.567282049,44.96824095,0,,,
9,7.573635802,44.96824095,0,,,
10,7.579989556,44.96824095,0,,,
11,7.586343309,44.96824095,0,,,
12,7.592697062,44.96824095,0,,,
13,7.599050816,44.96824095,0,,,
14,7.605404569,44.96824095,0,,,
15,7.611758322,44.96824095,0,,,
16,7.618112075,44.96824095,0,,,
17,7.624465829,44.96824095,0,,,
18,7.630819582,44.96824095,0,,,
19,7.637173335,44.96824095,0,,,
20,7.643527088,44.96824095,0,,,
21,7.649880842,44.96824095,0,,,
22,7.656234595,44.96824095,0,,,
23,7.662588348,44.96824095,0,,,
24,7.668942101,44.96824095,0,,,
25,7.675295855,44.96824095,0,,,
26,7.681649608,44.96824095,0,,,
27,7.688003361,44.96824095,0,,,
28,7.694357114,44.96824095,0,,,
29,7.700710868,44.96824095,0,,,
30,7.707064621,44.96824095,0,,,
31,7.713418374,44.96824095,0,,,
32,7.719772127,44.96824095,0,,,
33,7.726125881,44.96824095,0,,,
34,7.732479634,44.96824095,0,,,
35,7.738833387,44.96824095,0,,,
36,7.745187141,44.96824095,0,,,
37,7.751540894,44.96824095,0,,,
38,7.757894647,44.96824095,0,,,
39,7.7642484,44.96824095,0,,,
40,7.516452023,44.97273615,0,,,
41,7.522805776,44.97273615,0,,,
42,7.52915953,44.97273615,0,,,
43,7.535513283,44.97273615,0,,,
44,7.541867036,44.97273615,0,,,
45,7.548220789,44.97273615,0,,,
46,7.554574543,44.97273615,0,,,
47,7.560928296,44.97273615,0,,,
48,7.567282049,44.97273615,0,,,
49,7.573635802,44.97273615,0,,,
50,7.579989556,44.97273615,0,,,
51,7.586343309,44.97273615,0,,,
52,7.592697062,44.97273615,0,,,
53,7.599050816,44.97273615,0,,,
54,7.605404569,44.97273615,0,,,
55,7.611758322,44.97273615,0,,,
56,7.618112075,44.97273615,0,,,
57,7.624465829,44.97273615,0,,,
58,7.630819582,44.97273615,0,,,
59,7.637173335,44.97273615,0,,,
60,7.643527088,44.97273615,0,,,
61,7.649880842,44.97273615,0,,,
62,7.656234595,44.97273615,0,,,
63,7.662588348,44.97273615,0,,,
64,7.668942101,44.97273615,0,,,
65,7.675295855,44.97273615,0,,,
66,7.681649608,44.97273615,0,,,
67,7.688003361,44.97273615,0,,,
68,7.694357114,44.97273615,0,,,
69,7.700710868,44.97273615,0,,,
70,7.707064621,44.97273615,0,,,
71,7.713418374,44.97273615,0,,,
72,7.719772127,44.97273615,0,,,
73,7.726125881,44.97273615,0,,,
74,7.732479634,44.97273615,0,,,
75,7.738833387,44.97273615,0,,,
76,7.745187141,44.97273615,0,,,
77,7.751540894,44.97273615,0,,,
78,7.757894647,44.97273615,0,,,
79,7.7642484,44.97273615,0,,,
80,7.516452023,44.97723135,0,,,
81,7.522805776,44.97723135,0,,,
82,7.52915953,44.97723135,0,,,
83,7.535513283,44.97723135,0,,,
84,7.541867036,44.97723135,0,,,
85,7.548220789,44.97723135,0,,,
86,7.554574543,44.97723135,0,,,
87,7.560928296,44.97723135,0,,,
88,7.567282049,44.97723135,0,,,
89,7.573635802,44.97723135,0,,,
90,7.579989556,44.97723135,0,,,
91,7.586343309,44.97723135,0,,,
92,7.592697062,44.97723135,0,,,
93,7.599050816,44.97723135,0,,,
94,7.605404569,44.97723135,0,,,
95,7.611758322,44.97723135,0,,,
96,7.618112075,44.97723135,0,,,
97,7.624465829,44.97723135,0,,,
98,7.630819582,44.97723135,0,,,
99,7.637173335,44.97723135,0,,,
100,7.643527088,44.97723135,0,,,
101,7.649880842,44.97723135,0,,,
102,7.656234595,44.97723135,0,,,
103,7.662588348,44.97723135,0,,,
104,7.668942101,44.97723135,0,,,
105,7.675295855,44.97723135,0,,,
106,7.681649608,44.97723135,0,,,
