Longitute,Latitute,Outgoing
7.618112075,45.0118746,2
7.624465829,45.0118746,38
7.630819582,45.0118746,23
7.637173335,45.0118746,4
7.649880842,45.0118746,36
7.656234595,45.0118746,93
7.611758322,45.0163698,22
7.618112075,45.0163698,62
7.624465829,45.0163698,105
7.630819582,45.0163698,63
7.637173335,45.0163698,71
7.643527088,45.0163698,3
7.649880842,45.0163698,77
7.656234595,45.0163698,90
7.662588348,45.0163698,168
7.611758322,45.020865,127
7.618112075,45.020865,44
7.624465829,45.020865,26
7.630819582,45.020865,64
7.637173335,45.020865,92
7.643527088,45.020865,105
7.649880842,45.020865,131
7.656234595,45.020865,127
7.662588348,45.020865,137
7.668942101,45.020865,55
7.637173335,45.02536019,168
7.643527088,45.02536019,207
7.649880842,45.02536019,60
7.656234595,45.02536019,185
7.662588348,45.02536019,27
7.668942101,45.02536019,75
7.637173335,45.02985539,86
7.643527088,45.02985539,87
7.649880842,45.02985539,106
7.656234595,45.02985539,79
7.662588348,45.02985539,2
7.668942101,45.02985539,231
7.675295855,45.02985539,101
7.681649608,45.02985539,23
7.618112075,45.03435059,13
7.624465829,45.03435059,133
7.630819582,45.03435059,33
7.637173335,45.03435059,93
7.643527088,45.03435059,142
7.649880842,45.03435059,202
7.656234595,45.03435059,207
7.662588348,45.03435059,2
7.668942101,45.03435059,400
7.675295855,45.03435059,74
7.681649608,45.03435059,68
7.618112075,45.03884578,93
7.624465829,45.03884578,136
7.630819582,45.03884578,91
7.637173335,45.03884578,141
7.643527088,45.03884578,263
7.649880842,45.03884578,138
7.656234595,45.03884578,236
7.662588348,45.03884578,59
7.668942101,45.03884578,114
7.675295855,45.03884578,64
7.681649608,45.03884578,148
7.624465829,45.04334098,70
7.630819582,45.04334098,132
7.637173335,45.04334098,106
7.643527088,45.04334098,192
7.649880842,45.04334098,135
7.656234595,45.04334098,141
7.662588348,45.04334098,123
7.668942101,45.04334098,200
7.675295855,45.04334098,408
7.681649608,45.04334098,141
7.688003361,45.04334098,7
7.624465829,45.04783618,33
7.630819582,45.04783618,142
7.637173335,45.04783618,188
7.643527088,45.04783618,227
7.649880842,45.04783618,161
7.656234595,45.04783618,57
7.662588348,45.04783618,320
7.668942101,45.04783618,266
7.675295855,45.04783618,425
7.681649608,45.04783618,331
7.611758322,45.05233138,287
7.624465829,45.05233138,44
7.630819582,45.05233138,160
7.637173335,45.05233138,180
7.643527088,45.05233138,149
7.649880842,45.05233138,367
7.656234595,45.05233138,406
7.662588348,45.05233138,554
7.668942101,45.05233138,391
7.675295855,45.05233138,511
7.681649608,45.05233138,566
7.688003361,45.05233138,37
7.694357114,45.05233138,69
7.630819582,45.05682657,58
7.637173335,45.05682657,144
7.643527088,45.05682657,351
7.649880842,45.05682657,356
7.656234595,45.05682657,727
7.662588348,45.05682657,690
7.668942101,45.05682657,608
7.675295855,45.05682657,483
7.681649608,45.05682657,780
7.688003361,45.05682657,246
7.694357114,45.05682657,302
7.700710868,45.05682657,11
7.624465829,45.06132177,72
7.630819582,45.06132177,98
7.637173335,45.06132177,193
7.643527088,45.06132177,263
7.649880842,45.06132177,431
7.656234595,45.06132177,547
7.662588348,45.06132177,493
7.668942101,45.06132177,521
7.675295855,45.06132177,756
7.681649608,45.06132177,967
7.688003361,45.06132177,706
7.694357114,45.06132177,452
7.700710868,45.06132177,398
7.707064621,45.06132177,289
7.713418374,45.06132177,17
7.611758322,45.06581697,13
7.618112075,45.06581697,134
7.624465829,45.06581697,126
7.630819582,45.06581697,276
7.637173335,45.06581697,202
7.643527088,45.06581697,307
7.649880842,45.06581697,500
7.656234595,45.06581697,424
7.662588348,45.06581697,483
7.668942101,45.06581697,500
7.675295855,45.06581697,1091
7.681649608,45.06581697,536
7.688003361,45.06581697,914
7.694357114,45.06581697,668
7.700710868,45.06581697,253
7.707064621,45.06581697,192
7.713418374,45.06581697,258
7.719772127,45.06581697,136
7.605404569,45.07031216,9
7.611758322,45.07031216,236
7.618112075,45.07031216,180
7.624465829,45.07031216,127
7.630819582,45.07031216,164
7.637173335,45.07031216,324
7.643527088,45.07031216,292
7.649880842,45.07031216,374
7.656234595,45.07031216,351
7.662588348,45.07031216,884
7.668942101,45.07031216,1105
7.675295855,45.07031216,1165
7.681649608,45.07031216,355
7.688003361,45.07031216,356
7.694357114,45.07031216,636
7.700710868,45.07031216,435
7.707064621,45.07031216,254
7.713418374,45.07031216,212
7.719772127,45.07031216,183
7.726125881,45.07031216,111
7.605404569,45.07480736,94
7.611758322,45.07480736,110
7.618112075,45.07480736,175
7.624465829,45.07480736,240
7.630819582,45.07480736,171
7.637173335,45.07480736,225
7.643527088,45.07480736,337
7.649880842,45.07480736,365
7.656234595,45.07480736,340
7.662588348,45.07480736,626
7.668942101,45.07480736,864
7.675295855,45.07480736,1106
7.681649608,45.07480736,403
7.688003361,45.07480736,190
7.694357114,45.07480736,483
7.700710868,45.07480736,181
7.707064621,45.07480736,122
7.713418374,45.07480736,123
7.719772127,45.07480736,147
7.726125881,45.07480736,235
7.618112075,45.07930256,93
7.624465829,45.07930256,141
7.630819582,45.07930256,121
7.637173335,45.07930256,164
7.643527088,45.07930256,181
7.649880842,45.07930256,253
7.656234595,45.07930256,337
7.662588348,45.07930256,420
7.668942101,45.07930256,484
7.675295855,45.07930256,509
7.681649608,45.07930256,304
