TOTAL,AREA,HOUR,LONG,LAT
1,377,14,7.624465829,45.00869773
1,381,10,7.649880842,45.00869773
1,381,12,7.649880842,45.00869773
1,382,16,7.656234595,45.00869773
1,382,18,7.656234595,45.00869773
1,415,10,7.611758322,45.01319292
1,417,1,7.624465829,45.01319292
1,417,13,7.624465829,45.01319292
3,417,14,7.624465829,45.01319292
1,419,0,7.637173335,45.01319292
1,419,9,7.637173335,45.01319292
2,419,12,7.637173335,45.01319292
2,419,13,7.637173335,45.01319292
1,421,0,7.649880842,45.01319292
1,421,7,7.649880842,45.01319292
1,421,13,7.649880842,45.01319292
1,422,9,7.656234595,45.01319292
1,422,13,7.656234595,45.01319292
1,422,14,7.656234595,45.01319292
1,423,10,7.662588348,45.01319292
1,423,12,7.662588348,45.01319292
2,423,13,7.662588348,45.01319292
1,423,15,7.662588348,45.01319292
1,423,16,7.662588348,45.01319292
2,423,17,7.662588348,45.01319292
1,423,19,7.662588348,45.01319292
1,423,20,7.662588348,45.01319292
1,457,1,7.624465829,45.01768812
1,458,18,7.630819582,45.01768812
1,458,19,7.630819582,45.01768812
1,459,0,7.637173335,45.01768812
1,459,2,7.637173335,45.01768812
1,459,7,7.637173335,45.01768812
1,459,12,7.637173335,45.01768812
1,459,14,7.637173335,45.01768812
1,459,18,7.637173335,45.01768812
1,460,9,7.643527088,45.01768812
1,460,10,7.643527088,45.01768812
1,460,12,7.643527088,45.01768812
1,461,2,7.649880842,45.01768812
1,461,9,7.649880842,45.01768812
1,461,11,7.649880842,45.01768812
1,461,14,7.649880842,45.01768812
1,461,15,7.649880842,45.01768812
1,461,17,7.649880842,45.01768812
1,461,22,7.649880842,45.01768812
1,462,13,7.656234595,45.01768812
1,462,17,7.656234595,45.01768812
1,462,18,7.656234595,45.01768812
1,462,22,7.656234595,45.01768812
1,463,8,7.662588348,45.01768812
1,463,15,7.662588348,45.01768812
1,463,17,7.662588348,45.01768812
1,463,18,7.662588348,45.01768812
2,463,19,7.662588348,45.01768812
1,464,13,7.668942101,45.01768812
2,499,11,7.637173335,45.02218332
2,499,12,7.637173335,45.02218332
2,499,14,7.637173335,45.02218332
2,499,15,7.637173335,45.02218332
1,499,19,7.637173335,45.02218332
1,500,1,7.643527088,45.02218332
2,500,13,7.643527088,45.02218332
1,500,17,7.643527088,45.02218332
1,500,18,7.643527088,45.02218332
1,502,8,7.656234595,45.02218332
1,502,11,7.656234595,45.02218332
2,502,12,7.656234595,45.02218332
1,502,13,7.656234595,45.02218332
4,502,16,7.656234595,45.02218332
1,502,19,7.656234595,45.02218332
1,502,20,7.656234595,45.02218332
1,503,15,7.662588348,45.02218332
1,504,10,7.668942101,45.02218332
1,504,19,7.668942101,45.02218332
1,539,16,7.637173335,45.02667851
1,539,17,7.637173335,45.02667851
1,539,19,7.637173335,45.02667851
1,539,23,7.637173335,45.02667851
1,540,1,7.643527088,45.02667851
1,540,8,7.643527088,45.02667851
1,540,13,7.643527088,45.02667851
1,540,19,7.643527088,45.02667851
1,541,2,7.649880842,45.02667851
1,541,10,7.649880842,45.02667851
1,541,15,7.649880842,45.02667851
1,541,17,7.649880842,45.02667851
1,542,13,7.656234595,45.02667851
1,544,1,7.668942101,45.02667851
1,544,9,7.668942101,45.02667851
3,544,11,7.668942101,45.02667851
1,544,15,7.668942101,45.02667851
2,544,16,7.668942101,45.02667851
1,544,17,7.668942101,45.02667851
2,544,18,7.668942101,45.02667851
1,544,19,7.668942101,45.02667851
4,544,20,7.668942101,45.02667851
2,577,5,7.624465829,45.03117371
1,577,10,7.624465829,45.03117371
1,577,17,7.624465829,45.03117371
1,577,18,7.624465829,45.03117371
1,577,19,7.624465829,45.03117371
1,579,0,7.637173335,45.03117371
1,579,3,7.637173335,45.03117371
2,579,9,7.637173335,45.03117371
1,580,0,7.643527088,45.03117371
1,580,2,7.643527088,45.03117371
1,580,8,7.643527088,45.03117371
2,580,12,7.643527088,45.03117371
1,581,2,7.649880842,45.03117371
1,581,11,7.649880842,45.03117371
2,581,12,7.649880842,45.03117371
1,581,14,7.649880842,45.03117371
1,581,16,7.649880842,45.03117371
1,581,18,7.649880842,45.03117371
2,581,19,7.649880842,45.03117371
1,581,21,7.649880842,45.03117371
1,581,22,7.649880842,45.03117371
1,582,0,7.656234595,45.03117371
1,582,2,7.656234595,45.03117371
1,582,7,7.656234595,45.03117371
1,582,10,7.656234595,45.03117371
3,582,11,7.656234595,45.03117371
3,582,12,7.656234595,45.03117371
1,582,14,7.656234595,45.03117371
2,582,15,7.656234595,45.03117371
3,582,16,7.656234595,45.03117371
3,582,18,7.656234595,45.03117371
2,582,19,7.656234595,45.03117371
1,584,0,7.668942101,45.03117371
1,584,10,7.668942101,45.03117371
3,584,11,7.668942101,45.03117371
3,584,12,7.668942101,45.03117371
1,584,13,7.668942101,45.03117371
