DAYS,SESSO,FASCIA,SCOPO,COMBO,ENOJY,CAR2GO,TOTAL
afternoon,['1'],['2'],['1'],['1']['2']['1'],0.941760343,0.932905828,0.922695516
morning,['1'],['2'],['1'],['1']['2']['1'],0.837739983,0.901743387,0.849017489
afternoon,['1'],['3'],['8'],['1']['3']['8'],0.936594859,0.890365194,0.89483938
afternoon,['1'],['2'],['8'],['1']['2']['8'],0.801530036,0.769340461,0.764512412
morning,['1'],['2'],['8'],['1']['2']['8'],0.945787166,0.958426549,0.929943879
afternoon,['2'],['3'],['8'],['2']['3']['8'],0.95503402,0.92398601,0.924218917
afternoon,['1'],['4'],['8'],['1']['4']['8'],1.060787808,1.032192963,1.026903012
afternoon,['2'],['4'],['8'],['2']['4']['8'],1.089625489,1.040536812,1.05000478
afternoon,['1'],['2'],['7'],['1']['2']['7'],1.125434611,1.09509676,1.099818901
afternoon,['1'],['1'],['8'],['1']['1']['8'],1.129740668,1.142820042,1.127241502
afternoon,['2'],['1'],['8'],['2']['1']['8'],1.160141283,1.1342139,1.136692428
afternoon,['1'],['3'],['4'],['1']['3']['4'],1.163048955,1.151730743,1.147493105
afternoon,['2'],['2'],['4'],['2']['2']['4'],1.193951358,1.155452449,1.160791004
afternoon,['2'],['3'],['4'],['2']['3']['4'],1.190088667,1.165048435,1.167867145
afternoon,['2'],['3'],['1'],['2']['3']['1'],1.163704361,1.205163216,1.178813609
afternoon,['1'],['4'],['4'],['1']['4']['4'],1.206732349,1.175682529,1.184743679
afternoon,['1'],['2'],['4'],['1']['2']['4'],1.209895665,1.209089048,1.20527114
afternoon,['2'],['2'],['7'],['2']['2']['7'],1.241695452,1.205781104,1.216226059
afternoon,['2'],['2'],['5'],['2']['2']['5'],1.247649615,1.219104866,1.223934345
afternoon,['2'],['4'],['4'],['2']['4']['4'],1.25331028,1.222271962,1.227071029
afternoon,['1'],['3'],['1'],['1']['3']['1'],1.29091426,1.251960761,1.258305709
afternoon,['2'],['1'],['3'],['2']['1']['3'],1.316068793,1.299721864,1.301005492
afternoon,['1'],['4'],['7'],['1']['4']['7'],1.344765541,1.28527444,1.304686276
afternoon,['1'],['3'],['7'],['1']['3']['7'],1.368940236,1.301646727,1.32615775
afternoon,['1'],['2'],['5'],['1']['2']['5'],1.326031854,1.344922711,1.328023742
afternoon,['1'],['1'],['3'],['1']['1']['3'],1.369009846,1.385196989,1.376463954
afternoon,['2'],['3'],['7'],['2']['3']['7'],1.410349698,1.377995537,1.387784481
afternoon,['1'],['2'],['2'],['1']['2']['2'],1.429124333,1.385129862,1.398103578
afternoon,['2'],['4'],['7'],['2']['4']['7'],1.468439265,1.399895371,1.426675159
afternoon,['1'],['2'],['3'],['1']['2']['3'],1.430637017,1.455712499,1.440443074
afternoon,['1'],['1'],['7'],['1']['1']['7'],1.458820286,1.446038034,1.445352967
afternoon,['2'],['2'],['6'],['2']['2']['6'],1.482604371,1.473255349,1.472039964
afternoon,['2'],['2'],['9'],['2']['2']['9'],1.503220836,1.510403101,1.506977912
afternoon,['2'],['1'],['7'],['2']['1']['7'],1.529401047,1.491623893,1.507454302
afternoon,['2'],['2'],['2'],['2']['2']['2'],1.583494154,1.491396403,1.524058702
afternoon,['2'],['4'],['9'],['2']['4']['9'],1.516094903,1.535414534,1.525757439
afternoon,['2'],['3'],['6'],['2']['3']['6'],1.557384493,1.53221951,1.538814291
afternoon,['2'],['4'],['6'],['2']['4']['6'],1.571347486,1.56310056,1.564442344
afternoon,['1'],['3'],['5'],['1']['3']['5'],1.561698263,1.57855112,1.566878619
afternoon,['1'],['2'],['11'],['1']['2']['11'],1.632875468,1.583465419,1.601141009
afternoon,['2'],['3'],['9'],['2']['3']['9'],1.622318084,1.600244497,1.60663345
afternoon,['1'],['3'],['2'],['1']['3']['2'],1.624588489,1.603554633,1.611829246
afternoon,['1'],['2'],['9'],['1']['2']['9'],1.641616529,1.595087001,1.614585068
afternoon,['2'],['3'],['5'],['2']['3']['5'],1.647179021,1.612694287,1.623893688
afternoon,['1'],['4'],['6'],['1']['4']['6'],1.646459023,1.624271112,1.633568893
afternoon,['1'],['4'],['9'],['1']['4']['9'],1.637529799,1.642415558,1.640368194
afternoon,['2'],['4'],['5'],['2']['4']['5'],1.666250426,1.641095542,1.646266917
afternoon,['2'],['2'],['3'],['2']['2']['3'],1.691906005,1.618097601,1.648759926
afternoon,['1'],['3'],['9'],['1']['3']['9'],1.702236349,1.658955988,1.677092501
afternoon,['2'],['1'],['4'],['2']['1']['4'],1.720399591,1.668700102,1.690364627
afternoon,['1'],['2'],['6'],['1']['2']['6'],1.746622772,1.695840522,1.71424494
afternoon,['1'],['3'],['6'],['1']['3']['6'],1.709274606,1.717911975,1.71429251
afternoon,['1'],['4'],['5'],['1']['4']['5'],1.743330685,1.696376663,1.716052613
afternoon,['2'],['3'],['2'],['2']['3']['2'],1.768305142,1.702845445,1.730276146
afternoon,['2'],['2'],['11'],['2']['2']['11'],1.802361221,1.750665302,1.772328331
afternoon,['1'],['1'],['4'],['1']['1']['4'],1.807242593,1.777113613,1.789739077
afternoon,['2'],['1'],['9'],['2']['1']['9'],1.85764559,1.813633572,1.832076683
afternoon,['1'],['4'],['2'],['1']['4']['2'],1.871495062,1.831647902,1.848345741
afternoon,['1'],['1'],['9'],['1']['1']['9'],1.87910092,1.881514841,1.880503294
afternoon,['1'],['1'],['11'],['1']['1']['11'],1.899875128,1.872507677,1.883975929
afternoon,['1'],['4'],['1'],['1']['4']['1'],1.938585538,1.89011259,1.910425041
afternoon,['1'],['1'],['1'],['1']['1']['1'],1.936655693,1.915660184,1.924458293
afternoon,['2'],['4'],['1'],['2']['4']['1'],1.946986037,1.913367451,1.927455224
afternoon,['2'],['4'],['3'],['2']['4']['3'],1.941537064,1.935721597,1.938158552
afternoon,['2'],['4'],['2'],['2']['4']['2'],1.948007719,1.932610031,1.939062389
afternoon,['2'],['1'],['11'],['2']['1']['11'],1.949256442,1.941125896,1.944532978
