,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,0.015585435679072316,0.008764223777091063,0.018117552218444143,0.008547185216573478,0.01414884711183687,0.009952768275163554,0.009156960219932408,0.00932232293270771,0.005157249604679765,0.006821211901981252,0.006903893258368904,0.0032142377295699535,0.003596639002862842,0.0033279245946029744,1.0335169548456443e-05,0.0016846326363984,0.002831836456277065,0.001725973314592226,0.0008268135638765154,0.0024184296743388076,0.002315077978854243,0.0010645224634910136,0.0028111661171801522
Q002,0.00877455894663952,0.0021600504356273963,0.007461992413985551,0.003317589425054518,0.0044337877362878135,0.003059210186343107,0.003575968663765929,0.004113397480285664,0.003575968663765929,0.0031212212036338454,0.0023254131484026996,0.0013435720412993376,0.0012815610240085988,0.0010438521243941008,0.0,0.0002687144082598675,0.0006407805120042994,0.0005787694947135607,0.00022737373006604173,0.0010541872939425572,0.0013849127194931633,0.00023770889961449818,0.0018603305187221597
Q003,0.01839660179625247,0.007410316566243269,0.008340481825604349,0.006263112746364604,0.011317010655559805,0.005715348760296413,0.003410605950990626,0.0031935673904730406,0.004247754684415598,0.004609485618611573,0.004506133923127009,0.002718149591244044,0.0038860237502196223,0.0018293250100767902,0.0,0.0010128466157487313,0.000888824581167254,0.0004857529687774528,0.0001963682214206724,0.00045474746013208345,0.0015399402627200099,0.0003410605950990626,0.0019016711969159854
Q004,0.009043273354899387,0.0032039025600214973,0.006542162324172928,0.0038343479024773404,0.008330146656055892,0.004309765701706336,0.0020463635705943754,0.0014985995845261842,0.002387424165693438,0.002821501286728609,0.002573457217565654,0.0018189898405283338,0.0038653534111227094,0.001612286449559205,1.0335169548456443e-05,0.0008578190725218848,0.0007751377161342331,0.00028938474735678036,0.00014469237367839018,0.0001963682214206724,0.0004237419514867141,0.0001653627127753031,0.001167874158975578
Q005,0.014272869146418347,0.004289095362609424,0.011420362351044369,0.007978750891408374,0.008784894116187976,0.007927075043666092,0.006356129272300712,0.003979040276155731,0.0023047428093057867,0.002728484760792501,0.0035139576464751905,0.0024597703525326333,0.004805853840032246,0.0031108860340853892,0.0,0.0020980394183366577,0.002273737300660417,0.001240220345814773,0.0005994398338104737,0.0005270936469712786,0.0007958080552311461,0.00029971991690523684,0.0015709457713653791
Q006,0.009415339458643819,0.0030902156949884764,0.005787694947135608,0.0047955186704837895,0.008237130130119785,0.007027915292950381,0.007916739874117635,0.005767024608038695,0.0012298851762663167,0.001705302975495313,0.002242731792015048,0.0011265334807817522,0.0027904957780832394,0.003762001715638145,0.0,0.0022013911138212224,0.003410605950990626,0.0019016711969159854,0.0003927364428413448,0.0006407805120042994,0.0004857529687774528,0.000630445342455843,0.0012712258544601424
Q007,0.008650536912058042,0.003265913577312236,0.0034209411205390824,0.0023047428093057867,0.006190766559525409,0.007648025465857767,0.007038250462498837,0.006573167832818297,0.0015606106018169227,0.0012092148371694038,0.0013952478890416197,0.000630445342455843,0.0020670339096912887,0.001777649162334508,1.0335169548456443e-05,0.0018603305187221597,0.002718149591244044,0.0029765288299554555,0.0010541872939425572,0.0014779292454292713,0.0008784894116187976,0.001095527972136383,0.0005167584774228222
Q008,0.009342993271804625,0.0040203809543495565,0.0036483148506051243,0.001705302975495313,0.003989375445704187,0.005456969521585002,0.006552497493721384,0.003896358919768079,0.0022323966224665915,0.001095527972136383,0.0009094949202641669,0.0003617309341959755,0.0010231817852971877,0.001167874158975578,1.0335169548456443e-05,0.0009405004289095363,0.0015606106018169227,0.002180720774724309,0.0005684343251651043,0.0018293250100767902,0.0009611707680064491,0.001188544498072491,0.000630445342455843
Q009,0.005146914435131308,0.0038240127329288837,0.003968705106607274,0.001963682214206724,0.00214971526607894,0.0014572589063323585,0.0016226216191076615,0.0019740173837551806,0.004402782227642445,0.005705013590747956,0.0015606106018169227,0.002707814421695588,0.0009611707680064491,0.0006407805120042994,0.0,0.00017569788232375951,0.0004857529687774528,0.0003617309341959755,4.134067819382577e-05,0.0004237419514867141,0.0009198300898126233,0.0003617309341959755,0.003265913577312236
Q010,0.0067592008846905135,0.003451946629184452,0.004888535196419897,0.00261479789575948,0.002924852982213173,0.0020256932314974625,0.0014985995845261842,0.0012298851762663167,0.004898870365968353,0.005953057659910911,0.00247010552208109,0.0023977593352418947,0.0013022313631055119,0.0011368686503302086,1.0335169548456443e-05,0.0004134067819382577,0.0004340771210351706,0.00035139576464751903,0.0001240220345814773,0.00027904957780832394,0.0012298851762663167,0.0001240220345814773,0.004113397480285664
Q011,0.006252777576816148,0.0022530669615635044,0.004464793244933183,0.0023047428093057867,0.003989375445704187,0.0020256932314974625,0.0010541872939425572,0.0008371487334249718,0.001963682214206724,0.0027904957780832394,0.0013849127194931633,0.001632956788656118,0.0015399402627200099,0.0011058631416848393,1.0335169548456443e-05,0.0005787694947135607,0.0004857529687774528,0.00027904957780832394,6.201101729073865e-05,0.0001240220345814773,0.00038240127329288836,0.0001653627127753031,0.0012505555153632295
Q012,0.0038860237502196223,0.0015399402627200099,0.0026044627262110237,0.0017879843318829645,0.0019946877228520935,0.0013125665326539683,0.0007131266988434945,0.0004960881383259092,0.00214971526607894,0.0025527868784687414,0.001353907210847794,0.001612286449559205,0.0014159182281385325,0.0008681542420703412,0.0,0.000444412290583627,0.00029971991690523684,0.00014469237367839018,5.167584774228221e-05,0.00014469237367839018,0.0003617309341959755,0.00010335169548456442,0.001963682214206724
