MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-13T21:23:59.518+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
1 0 1446
2 0 3042
2 1 979
3 0 979
3 1 305
3 2 706
4 0 2021
4 1 514
4 2 1101
4 3 818
5 0 1666
5 1 265
5 2 648
5 3 439
5 4 945
6 0 1392
6 1 318
6 2 372
6 3 185
6 4 648
6 5 790
7 0 1345
7 1 414
7 2 344
7 3 147
7 4 368
7 5 511
7 6 689
8 0 686
8 1 350
8 2 468
8 3 148
8 4 209
8 5 135
8 6 120
8 7 119
9 0 809
9 1 410
9 2 589
9 3 152
9 4 241
9 5 135
9 6 69
9 7 87
9 8 385
10 0 608
10 1 195
10 2 348
10 3 231
10 4 324
10 5 149
10 6 72
10 7 57
10 8 138
10 9 194
11 0 459
11 1 134
11 2 364
11 3 220
11 4 298
11 5 105
11 6 86
11 7 49
11 8 148
11 9 246
11 10 177
12 0 588
12 1 145
12 2 323
12 3 284
12 4 518
12 5 353
12 6 237
12 7 95
12 8 93
12 9 91
12 10 148
12 11 145
13 0 538
13 1 94
13 2 227
13 3 251
13 4 393
13 5 462
13 6 222
13 7 127
13 8 56
13 9 87
13 10 72
13 11 122
13 12 422
14 0 177
14 1 75
14 2 50
14 3 23
14 4 139
14 5 152
14 6 131
14 7 46
14 8 14
14 9 24
14 10 35
14 11 26
14 12 101
14 13 126
15 0 266
15 1 39
15 2 53
15 3 52
15 4 208
15 5 262
15 6 234
15 7 104
15 8 11
15 9 17
15 10 29
15 11 33
15 12 123
15 13 162
15 14 103
16 0 314
16 1 57
16 2 70
16 3 74
16 4 217
16 5 290
16 6 250
16 7 128
16 8 29
16 9 22
16 10 48
16 11 30
16 12 54
16 13 137
16 14 128
16 15 196
17 0 206
17 1 48
17 2 28
17 3 20
17 4 93
17 5 212
17 6 257
17 7 169
17 8 35
17 9 15
17 10 14
17 11 17
17 12 28
17 13 42
17 14 32
17 15 35
17 16 124
18 0 139
18 1 22
18 2 25
18 3 27
18 4 43
18 5 64
18 6 121
18 7 100
18 8 17
18 9 3
18 10 3
18 11 9
18 12 22
18 13 23
18 14 19
18 15 25
18 16 66
18 17 47
19 0 693
19 1 137
19 2 92
19 3 33
19 4 123
19 5 109
19 6 220
19 7 260
19 8 55
19 9 17
19 10 25
19 11 13
19 12 17
19 13 15
19 14 18
19 15 13
19 16 33
19 17 28
19 18 9
20 0 994
20 1 342
20 2 271
20 3 55
20 4 168
20 5 92
20 6 152
20 7 230
20 8 138
20 9 99
20 10 45
20 11 56
20 12 28
20 13 53
20 14 21
20 15 43
20 16 17
20 17 21
20 18 20
20 19 152
21 0 152
21 1 27
21 2 40
21 3 6
21 4 44
21 5 60
21 6 129
21 7 99
21 8 14
21 9 1
21 10 4
21 11 4
21 12 13
21 13 9
21 14 6
21 15 21
21 16 37
21 17 53
21 18 24
21 19 19
21 20 16
22 0 304
22 1 134
22 2 188
22 3 98
22 4 151
22 5 66
22 6 42
22 7 51
22 8 245
22 9 282
22 10 90
22 11 119
22 12 83
22 13 57
22 14 19
22 15 9
22 16 14
22 17 8
22 18 8
22 19 9
22 20 23
