SESSO,FASCIA,COMBO,ENJOY,CAR2GO,TOTAL
1,1,"1,1",0.978185776,0.990653792,0.972156119
2,1,"2,1",0.917125814,0.898571547,0.895117669
1,2,"1,2",0.674102011,0.672210817,0.656821241
2,2,"2,2",0.775098034,0.737086546,0.740350464
1,3,"1,3",0.783539738,0.769588676,0.764640702
2,3,"2,3",0.847054444,0.839555835,0.826864973
1,4,"1,4",0.959793337,0.928433426,0.931822253
2,4,"2,4",0.975471418,0.955316554,0.949180555
,,,,,
1,1,"1,1",0.021814224,0.009346208,0.027843881
2,1,"2,1",0.082874186,0.101428453,0.104882331
1,2,"1,2",0.325897989,0.327789183,0.343178759
2,2,"2,2",0.224901966,0.262913454,0.259649536
1,3,"1,3",0.216460262,0.230411324,0.235359298
2,3,"2,3",0.152945556,0.160444165,0.173135027
1,4,"1,4",0.040206663,0.071566574,0.068177747
2,4,"2,4",0.024528582,0.044683446,0.050819445
