ID_INT,PROGR_USC,PROGR_SPOST,SESSO,FASCIA_ETA,COD_ZONA_RES,SCOPO,COD_ZONA_PAR,PROV_PAR,ORA_PAR,COD_ZONA_ARR,PROV_ARR,ORA_ARR,USO_MEZZ,MEZZO1,MEZZO2,MEZZO3,PAX_AUTO,NUM_LIN_URB,COD_ALTROURB,COD_ZONA_2M,PROV_2M,ORA_2MEZZO,COD_ZONA_3M,PROV_3M,ORA_3MEZZO,TASSO_CAMP
8139335,1,2,1,2,C006,5,Q005,1,02/02/2017 10:00,Q023,1,02/02/2017 10:20,1,3,,,1,,,,,,,,,3.174603175
8139641,1,2,2,4,C009,4,Q002,1,02/02/2017 16:30,Q023,1,02/02/2017 16:50,1,3,,,1,,,,,,,,,3.000400053
8139830,1,2,1,2,C004,4,Q019,1,02/02/2017 14:30,Q019,1,02/02/2017 14:50,2,,,,,,,,,,,,,3.140722671
8140616,1,2,1,2,C003,9,Q003,1,02/02/2017 20:00,Q005,1,02/02/2017 20:30,1,19,,,,,,,,,,,,3.159910629
8140678,1,2,2,3,C011,4,Q009,1,02/02/2017 09:00,Q009,1,02/02/2017 09:10,2,,,,,,,,,,,,,3.112118714
8140745,1,2,2,3,C004,4,Q015,1,02/02/2017 18:00,Q021,1,02/02/2017 18:15,1,3,,,0,,,,,,,,,3.019627579
8140799,1,2,2,3,C006,4,Q010,1,02/02/2017 10:45,Q020,1,02/02/2017 11:00,1,3,,,1,,,,,,,,,2.986550633
8141314,1,2,2,3,C009,4,Q022,1,02/02/2017 18:15,Q022,1,02/02/2017 18:30,1,3,,,0,,,,,,,,,3.141273308
8141976,2,2,1,4,C003,9,Q001,1,02/02/2017 15:40,Q007,1,02/02/2017 16:10,1,6,,,,1,,,,,,,,2.877697842
8142800,1,2,2,2,C003,7,Q012,1,02/02/2017 19:30,Q019,1,02/02/2017 19:45,1,3,,,1,,,,,,,,,3.132083247
8143087,1,2,2,3,C003,4,Q006,1,02/02/2017 15:00,Q006,1,02/02/2017 15:10,1,3,,,0,,,,,,,,,3.063748811
8143375,1,2,1,4,C004,9,Q001,1,02/02/2017 17:00,Q018,1,02/02/2017 17:15,1,3,,,1,,,,,,,,,2.802893309
8146677,2,2,2,3,C023,7,Q008,1,02/02/2017 19:20,Q002,1,02/02/2017 19:40,1,4,,,,,,,,,,,,2.808988764
8147093,1,2,1,1,C016,2,Q001,1,02/02/2017 14:00,Q014,1,02/02/2017 14:35,1,6,19,,,1,,Q005,1,02/02/2017 14:20,,,,3.198653199
8147103,1,2,1,2,C071,4,Q009,1,02/02/2017 14:30,Q007,1,02/02/2017 15:00,1,3,,,1,,,,,,,,,3.087248322
8148545,1,2,1,2,C016,7,Q023,1,02/02/2017 18:00,Q005,1,02/02/2017 18:15,1,3,,,2,,,,,,,,,3.171247357
8148559,1,2,2,1,C016,7,Q002,1,02/02/2017 19:00,Q001,1,02/02/2017 19:10,2,,,,,,,,,,,,,3.003337041
8148899,1,2,2,1,C064,4,Q005,1,02/02/2017 14:30,Q005,1,02/02/2017 14:40,1,2,,,,,,,,,,,,2.763157895
8149739,2,2,2,3,C014,9,Q011,1,02/02/2017 10:40,Q011,1,02/02/2017 10:45,1,3,,,1,,,,,,,,,2.979591837
8149739,2,3,2,3,C014,5,Q011,1,02/02/2017 15:30,Q009,1,02/02/2017 16:00,1,3,,,1,,,,,,,,,2.979591837
8149739,2,4,2,3,C014,7,Q009,1,02/02/2017 16:30,Q010,1,02/02/2017 16:50,1,3,,,1,,,,,,,,,2.979591837
8149739,2,5,2,3,C014,7,Q010,1,02/02/2017 18:30,Q011,1,02/02/2017 18:40,1,3,,,1,,,,,,,,,2.979591837
8150137,1,2,1,2,C013,2,Q009,1,02/02/2017 11:00,Q007,1,02/02/2017 11:20,1,3,,,0,,,,,,,,,3.134240095
8150137,1,3,1,2,C013,2,Q007,1,02/02/2017 13:00,Q009,1,02/02/2017 13:20,1,3,,,0,,,,,,,,,3.134240095
8150137,1,4,1,2,C013,7,Q009,1,02/02/2017 19:00,Q001,1,02/02/2017 19:25,1,3,,,0,,,,,,,,,3.134240095
8150666,1,2,1,2,C016,2,Q018,1,02/02/2017 14:30,Q020,1,02/02/2017 15:00,1,3,,,0,,,,,,,,,3.171247357
8318486,1,2,1,2,C064,4,Q003,1,02/02/2017 15:30,Q009,1,02/02/2017 15:45,1,4,,,,,,,,,,,,3.088502466
8319229,1,2,1,3,C071,4,Q009,1,02/02/2017 09:00,Q015,1,02/02/2017 09:20,1,3,,,0,,,,,,,,,3.095388503
8319229,1,3,1,3,C071,4,Q015,1,02/02/2017 10:00,Q020,1,02/02/2017 10:20,1,3,,,0,,,,,,,,,3.095388503
8319245,2,2,1,2,C016,4,Q005,1,02/02/2017 16:50,Q014,1,02/02/2017 17:00,1,3,,,0,,,,,,,,,3.171247357
8320278,1,2,2,2,C013,5,Q012,1,02/02/2017 08:30,Q001,1,02/02/2017 09:00,1,3,,,0,,,,,,,,,3.038990826
8320278,1,3,2,2,C013,5,Q001,1,02/02/2017 11:30,Q015,1,02/02/2017 12:00,1,3,,,0,,,,,,,,,3.038990826
8322446,1,2,1,2,C069,9,Q001,1,02/02/2017 15:00,Q023,1,02/02/2017 15:30,1,4,,,,,,,,,,,,2.9986053
8322446,1,3,1,2,C069,4,Q023,1,02/02/2017 19:10,Q004,1,02/02/2017 19:20,1,4,,,,,,,,,,,,2.9986053
8322446,1,4,1,2,C069,9,Q004,1,02/02/2017 19:40,Q009,1,02/02/2017 19:50,1,4,,,,,,,,,,,,2.9986053
8339623,1,2,2,1,C011,9,Q005,1,02/02/2017 18:00,Q011,1,02/02/2017 18:15,1,3,,,1,,,,,,,,,3.078501796
8339940,1,2,1,1,C007,9,Q003,1,02/02/2017 13:00,Q015,1,02/02/2017 13:30,1,4,,,,,,,,,,,,3.033980583
8340522,1,2,2,1,C003,4,Q001,1,02/02/2017 13:40,Q005,1,02/02/2017 14:00,1,4,,,,,,,,,,,,2.829218107
8341265,2,2,2,2,C011,5,Q009,1,02/02/2017 13:10,Q009,1,02/02/2017 13:25,1,3,,,0,,,,,,,,,3.131850924
